cond,cval,mkt,sel,n_tr,wr_tr,roi_tr,n_oos,wr_oos,avg_cote,roi_oos,wins_oos,roi_h1,roi_h2
profxseg,other|MS_mid,G/NG equipe extérieur,Oui,259,0.7992277992277992,-0.008146718146718164,108,0.7037037037037037,1.2546296296296295,-0.12037037037037039,76,-0.1359322033898305,-0.1016326530612245
profxseg,home_crush|MS_late,Minute du premier but,16-30,68,0.45588235294117646,0.24455882352941175,34,0.3235294117647059,2.712058823529412,-0.12205882352941178,11,0.04611111111111114,-0.31124999999999997
favxseg,Hfav<1.3|MS_late,Minute du premier but,16-30,68,0.45588235294117646,0.24455882352941175,34,0.3235294117647059,2.712058823529412,-0.12205882352941178,11,0.04611111111111114,-0.31124999999999997
profxseg,away_slight|MS_early,Minute du premier but,16-30,125,0.408,0.17456,59,0.3050847457627119,2.8871186440677965,-0.12627118644067797,18,-0.39357142857142857,0.11516129032258066
favxseg,nofav|FS,Minute du premier but,Pas de but,197,0.07106598984771574,0.16461928934010153,55,0.05454545454545454,15.866363636363635,-0.12672727272727272,3,-0.5172972972972973,0.6761111111111112
favxseg,nofav|FS,FTTS,Pas de but,197,0.07106598984771574,0.16461928934010153,55,0.05454545454545454,15.866363636363635,-0.12672727272727272,3,-0.5172972972972973,0.6761111111111112
prof,away_slight,Total de buts,4,505,0.23366336633663368,0.13380198019801978,223,0.17937219730941703,4.783766816143498,-0.13309417040358743,40,-0.016728971962616798,-0.2404310344827586
profxseg,home_strong|MS_late,Multi-Buts,"Le total de buts est de 0, 1 ou 2",154,0.42857142857142855,0.1329220779220779,93,0.3225806451612903,2.7776344086021503,-0.13397849462365596,30,-0.5006976744186047,0.1814
favxseg,Hfav<1.6|MS_late,Multi-Buts,"Le total de buts est de 0, 1 ou 2",154,0.42857142857142855,0.1329220779220779,93,0.3225806451612903,2.7776344086021503,-0.13397849462365596,30,-0.5006976744186047,0.1814
favxseg,nofav|FS,Les deux équipes marquent / 1ère mi temps,Oui,204,0.29901960784313725,0.10460784313725491,56,0.21428571428571427,3.9533928571428567,-0.14142857142857143,12,-0.25210526315789467,0.09222222222222223
favxseg,Hfav<1.3|MS_early,Total equipe domicile,> 3.5,93,0.3225806451612903,0.10999999999999997,34,0.2647058823529412,3.6544117647058822,-0.1458823529411765,9,-0.061428571428571485,-0.205
profxseg,home_crush|MS_early,Total equipe domicile,> 3.5,93,0.3225806451612903,0.10999999999999997,34,0.2647058823529412,3.6544117647058822,-0.1458823529411765,9,-0.061428571428571485,-0.205
profxseg,home_strong|MS_early,G/NG,Oui,200,0.67,0.11264999999999999,73,0.5205479452054794,1.683150684931507,-0.14890410958904107,38,-0.11297297297297297,-0.18583333333333332
favxseg,Hfav<1.6|MS_early,G/NG,Oui,200,0.67,0.11264999999999999,73,0.5205479452054794,1.683150684931507,-0.14890410958904107,38,-0.11297297297297297,-0.18583333333333332
favxseg,Hfav<1.3|DS,Pair/Impair,Pair,41,0.6585365853658537,0.21926829268292689,11,0.45454545454545453,1.8490909090909093,-0.15999999999999995,5,0.2333333333333334,-0.3075
profxseg,home_crush|DS,Pair/Impair,Pair,41,0.6585365853658537,0.21926829268292689,11,0.45454545454545453,1.8490909090909093,-0.15999999999999995,5,0.2333333333333334,-0.3075
profxseg,away_slight|FS,Minute du premier but,31-45,46,0.2608695652173913,0.3219565217391304,6,0.16666666666666666,5.0633333333333335,-0.16,1,1.52,-1.0
profxseg,other|DS,Total de buts,4,70,0.2714285714285714,0.32642857142857146,27,0.14814814814814814,5.262962962962963,-0.16185185185185189,4,-0.6708333333333334,0.24533333333333332
profxseg,home_crush|MS_early,Minute du premier but,1-15,87,0.3333333333333333,0.32505747126436785,34,0.20588235294117646,4.007941176470588,-0.17352941176470593,7,-0.4485714285714287,0.018999999999999996
favxseg,Hfav<1.3|MS_early,Minute du premier but,1-15,87,0.3333333333333333,0.32505747126436785,34,0.20588235294117646,4.007941176470588,-0.17352941176470593,7,-0.4485714285714287,0.018999999999999996
profxobin,"other|[3.5,5.0)",Les deux équipes marquent / 1ère mi temps,Oui,428,0.28738317757009346,0.155303738317757,212,0.2028301886792453,4.080754716981132,-0.17485849056603775,43,-0.2911214953271028,-0.056380952380952386
profxseg,other|FS,Total de buts,0,69,0.11594202898550725,0.6305797101449276,19,0.05263157894736842,15.497894736842108,-0.1873684210526316,1,-1.0,1.2057142857142857
