segment,team_a,team_b,journee,odds_h,odds_a,pick,cote,strength,actual,won,roi,n_supporting
DS,Newcastle,London Blues,1,1.44,6.31,2,6.31,0.8,2,True,5.31,1
DS,Sunderland,C. Palace,3,6.11,1.56,2,1.56,1.0,2,True,0.56,1
DS,West Ham,London Blues,3,2.54,2.51,1,2.54,1.6560000000000001,1,True,1.54,2
DS,Manchester Red,Bournemouth,3,1.62,4.75,2,4.75,0.472,1,False,-1.0,1
DS,London Blues,Sunderland,2,1.43,6.68,1,1.43,0.8,2,False,-1.0,1
DS,C. Palace,Newcastle,2,2.52,2.51,1,2.52,0.656,2,False,-1.0,1
DS,Burnley,London Reds,2,10.27,1.31,2,1.31,0.52,2,True,0.31000000000000005,1
DS,West Ham,N. Forest,2,1.81,3.9,1,1.81,0.746,1,True,0.81,1
MS_early,Spurs,Bournemouth,5,1.63,4.19,2,4.19,0.5,1,False,-1.0,1
MS_early,Bournemouth,Manchester Blue,6,5.08,1.7,1,5.08,0.948,1,True,4.08,2
MS_early,Sunderland,Manchester Red,7,5.87,1.56,1,5.87,0.448,2,False,-1.0,1
MS_early,Liverpool,Bournemouth,7,1.24,10.23,2,10.23,0.5,X,False,-1.0,1
MS_early,Burnley,C. Palace,8,3.15,2.31,1,3.15,0.48,2,False,-1.0,1
MS_early,Everton,Brentford,8,2.78,2.68,1,2.78,0.48,1,True,1.7799999999999998,1
MS_early,Bournemouth,Brighton,8,2.52,2.57,1,2.52,0.34199999999999997,X,False,-1.0,1
MS_early,Sunderland,Spurs,9,7.43,1.35,1,7.43,0.448,X,False,-1.0,1
MS_early,Brentford,Bournemouth,9,1.73,3.83,2,3.83,0.5,2,True,2.83,1
MS_early,Sunderland,Manchester Blue,10,18.89,1.14,1,18.89,0.448,2,False,-1.0,1
MS_early,Wolverhampton,Brighton,10,2.8,2.26,1,2.8,0.48,X,False,-1.0,1
MS_early,N. Forest,Bournemouth,11,1.8,3.95,2,3.95,0.5,1,False,-1.0,1
MS_late,Sunderland,Fulham,27,6.89,1.46,2,1.46,0.496,2,True,0.45999999999999996,1
FS,Spurs,Leeds,34,1.32,8.38,1,1.32,1.0,1,True,0.32000000000000006,1
FS,Sunderland,Bournemouth,34,5.4,1.54,1,5.4,1.094,1,True,4.4,2
FS,London Blues,Brentford,34,1.87,3.97,1,1.87,0.65,1,True,0.8700000000000001,1
FS,Brighton,C. Palace,34,1.82,4.13,2,4.13,1.0,2,True,3.13,1
FS,London Reds,Sunderland,35,1.23,10.65,2,10.65,0.55,2,True,9.65,1
FS,Brentford,C. Palace,35,1.86,3.74,2,3.74,1.0,1,False,-1.0,1
FS,Everton,London Blues,35,2.64,2.7,2,2.7,0.65,2,True,1.7000000000000002,1
FS,C. Palace,Everton,36,1.82,4.57,1,1.82,1.0,1,True,0.8200000000000001,1
FS,Spurs,Fulham,36,1.9,3.48,1,1.9,1.0,X,False,-1.0,1
FS,West Ham,London Reds,36,5.87,1.54,1,5.87,0.544,X,False,-1.0,1
FS,Sunderland,Wolverhampton,36,4.34,1.78,1,4.34,0.99,1,True,3.34,2
FS,Newcastle,Sunderland,37,1.24,10.53,2,10.53,0.55,1,False,-1.0,1
FS,London Reds,London Blues,37,1.39,6.81,2,6.81,0.65,1,False,-1.0,1
FS,Burnley,Brentford,37,3.61,2.05,1,3.61,0.44,2,False,-1.0,1
FS,Fulham,Manchester Blue,37,4.36,1.73,1,4.36,0.44,1,True,3.3600000000000003,1
FS,Bournemouth,C. Palace,37,2.28,3.25,2,3.25,1.0,1,False,-1.0,1
FS,N. Forest,Spurs,37,2.2,2.9,2,2.9,1.0,X,False,-1.0,1
DS,Wolverhampton,Sunderland,1,1.88,3.76,2,3.76,0.472,2,True,2.76,1
DS,Everton,London Blues,1,2.55,2.75,2,2.75,0.8,1,False,-1.0,1
DS,N. Forest,C. Palace,1,2.07,3.62,2,3.62,0.472,X,False,-1.0,1
DS,Brighton,A. Villa,1,1.78,4.08,2,4.08,0.472,1,False,-1.0,1
DS,C. Palace,Manchester Blue,3,4.35,1.79,2,1.79,1.0,X,False,-1.0,1
DS,Brentford,Wolverhampton,3,1.54,4.97,2,4.97,0.472,2,True,3.9699999999999998,1
DS,Fulham,London Blues,3,2.2,2.95,2,2.95,0.8,1,False,-1.0,1
DS,Spurs,A. Villa,3,1.81,3.73,2,3.73,0.472,1,False,-1.0,1
DS,Leeds,Bournemouth,3,4.65,1.63,2,1.63,1.0,2,True,0.6299999999999999,1
MS_early,Bournemouth,N. Forest,4,1.91,3.86,1,1.91,0.5,1,True,0.9099999999999999,1
MS_early,Sunderland,Everton,4,5.2,1.73,1,5.2,0.448,X,False,-1.0,1
MS_early,Leeds,London Reds,7,18.46,1.15,1,18.46,0.448,2,False,-1.0,1
MS_early,West Ham,Bournemouth,7,1.99,3.22,2,3.22,0.5,2,True,2.22,1
MS_early,Bournemouth,Fulham,8,2.51,2.77,1,2.51,0.34199999999999997,2,False,-1.0,1
MS_early,C. Palace,London Reds,9,5.17,1.65,1,5.17,0.448,2,False,-1.0,1
MS_early,Leeds,London Blues,10,5.86,1.51,1,5.86,0.448,X,False,-1.0,1
MS_early,Wolverhampton,Bournemouth,10,2.1,3.12,2,3.12,0.5,1,False,-1.0,1
MS_early,Sunderland,Brentford,11,7.65,1.42,1,7.65,0.448,X,False,-1.0,1
MS_early,Bournemouth,Liverpool,11,3.57,1.96,1,3.57,0.5,1,True,2.57,1
